#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
NC|J044|37.37096|-122.264442|388.0|La Honda Rd Woodside|2010-06-17T18:36:00|
NC|J045|37.523643|-122.301033|116.0|Forest Av Belmont|2010-06-28T17:13:00|
NC|J046|37.256607|-121.968987|83.0|Strathmore Pl Los Gatos|2010-07-07T18:09:00|
NC|J048|37.193752|-122.018761|420.0|Black Rd Los Gatos|2010-08-05T18:30:00|
NC|J049|37.588139|-122.458687|126.0|Big Bend Dr Pacifica|2010-09-01T19:35:00|
NC|J050|37.61113|-122.477852|45.0|Juanita Av Pacifica|2010-09-09T23:21:00|
NC|J051|37.312901|-122.007835|63.0|So Tantau Av Cupertino|2010-09-20T17:52:00|
NC|J052|37.299629|-122.24456|250.0|Heritage Rd, La Honda, CA|2010-11-08T18:00:00|
NC|J053|37.288418|-122.160629|750.0|Portola Heights Rd La Honda|2010-11-18T19:07:00|
NC|J054|37.246849|-121.824806|55.0|Chandler St San Jose|2011-02-09T18:57:00|
NC|J055|37.39999|-121.922073|17.0|Milan Dr San Jose|2011-02-14T18:08:00|
NC|J056|37.778343|-122.442886|68.0|Golden Gate Av San Francisco|2011-03-01T19:52:00|
NC|J057|37.78796|-122.463875|52.0|5th Av San Francisco|2011-08-10T16:18:00|
NC|J058|36.998039|-121.827271|198.0|Oak Tree Lake Aptos|2012-01-31T20:14:00|
NC|J059|37.489326|-122.452751|8.0|Washington Bl Half Moon Bay|2012-03-06T19:41:00|
NC|J060|37.712742|-122.405266|2.0|Alpha St San Francisco|2012-04-03T17:44:00|
NC|J061|37.730572|-122.497421|22.0|Lakeshore Dr San Francisco|2012-04-04T22:38:00|
NC|J062|37.562637|-122.265808|5.0|Challenge Ct Foster City|2012-05-15T22:02:00|
NC|J063|37.017448|-122.127068|226.0|Smith Gr. Bonny Doon|2012-07-11T20:10:00|
NC|J064|37.420303|-122.323967|659.0|Swett Rd. Woodside|2012-09-06T16:43:00|
NC|J065|37.34322|-122.051247|56.0|Samedra St. Sunnyvale|2012-09-06T23:51:00|
NC|J066|37.101082|-121.876762|749.0|Loma Prieta Wy Los Gatos|2012-09-24T19:27:00|
NC|J067|37.554142|-122.340958|52.0|Reservoir Rd Hillsboro|2013-02-19T19:49:00|
NC|J068|37.351501|-121.925262|55.0|Coleman Ave San Jose|2015-03-17T22:42:00|
NC|JAL|37.157757|-121.848213|214.0|Almaden Reservoir|1984-01-01T00:00:00|
NC|JBG|37.343048|-122.33976|135.0|Bear Gulch Road #2|2001-03-03T22:42:00|
NC|JBMB|37.318607|-122.153145|786.0|Black Mountain #3|2002-04-04T20:30:00|
NC|JBNB|37.123245|-122.156715|761.0|Ben Lomond Mountain|2008-05-23T20:22:00|
NC|JBR|37.172169|-122.011208|441.0|Bear Creek Rd|2001-05-16T23:04:00|
NC|JBZ|37.018147|-121.82032|179.0|Buzzard Lagoon|1984-01-01T00:00:00|
NC|JCH|37.517036|-122.377304|290.0|Cahill Ridge|2009-07-31T18:15:00|
NC|JCP|37.58831|-122.323387|-19.0|Coyote Point|1991-10-31T23:30:00|
NC|JECB|37.049225|-121.807236|365.0|Eureka Canyon Rd|2003-08-21T20:07:00|
NC|JELB|36.927448|-121.827637|81.0|Ellicott|2006-07-19T00:00:00|
NC|JFP|37.360447|-122.189857|291.0|Foothills Park|2003-06-06T23:59:00|
NC|JGR|37.516041|-122.458153|282.0|El Granada #2|2000-09-13T00:00:00|
NC|JHL|37.109085|-121.834541|841.0|Holmstrom Ranch|1984-01-01T00:00:00|
NC|JHP|37.444084|-122.304001|341.0|Huddart Park|1984-01-01T00:00:00|
NC|JHU|37.214272|-122.171677|234.0|Huhtala Ln|2000-09-15T19:55:00|
NC|JJO|37.20631|-121.977257|343.0|St Josephs Hill|2001-05-29T00:20:00|
NC|JJR|37.344494|-122.202736|400.0|Joaquin Rd|1990-10-11T20:10:00|
NC|JLAB|37.15432|-121.734673|318.0|Laurel Hill|2001-05-09T00:00:00|
NC|JMGB|37.637192|-122.474823|170.0|Milagra Ridge #3|2001-06-08T22:30:00|
NC|JMM|37.01068|-121.70568|561.0|Mt. Madonna|2020-03-11T00:00:00|
NC|JPC|37.270802|-122.212761|257.0|Peters Creek|2001-03-07T23:00:00|
NC|JPE|37.284159|-122.209292|442.0|Peters Creek|2019-08-26T00:00:00|
NC|K001|41.807098|-124.175247|-2.0|James Rd, Crescent City, CA|2012-12-03T00:00:00|
NC|K002|41.363411|-124.01931|45.0|Newton B Drury Pkwy, Orick, CA|2012-12-04T00:00:00|
NC|K003|40.935638|-124.099701|36.0|Sutter Rd, McKinleyville, CA|2012-12-04T00:00:00|
NC|K004|40.246891|-124.119537|170.0|Old Hindley Ranch Rd, Honeydew, CA|2012-12-05T00:00:00|
NC|KBU|40.24553|-123.8532|577.0|Burgh Ranch|2019-05-22T00:00:00|
NC|KPR|40.2196|-124.05732|450.0|Pringle Ridge|2019-05-22T00:00:00|
NC|KTD|41.05387|-124.15057|101.0|Trinidad Head|2019-12-19T21:00:00|
NC|L001|40.225349|-121.075737|1384.0|Lake Almanor, CA|2013-05-25T00:00:00|
NC|L002|40.171329|-121.072609|1441.0|Canyondam, CA|2013-05-25T00:00:00|
NC|L003|40.162472|-120.965401|1139.0|Greenville, CA|2013-05-25T00:00:00|
NC|LBR|41.40942|-122.06776|1607.0|Brewer Creek (Mt Shasta)|2017-11-08T16:40:00|
NC|LDL|41.38136|-122.29369|1706.0|Dillon Ridge|2017-10-05T00:00:00|
NC|LGO|40.41862|-120.80602|1606.0|Goat Mountain|2019-07-10T00:00:00|
NC|LGY|41.34488|-122.19581|2420.0|Grey Butte (Mt Shasta)|2017-09-14T21:30:00|
NC|MBUB|37.55932|-120.07555|1275.39|Mount Bullion|2019-04-25T20:10:00|
NC|MGS|36.85805|-119.92023|91.0|Gregg Station|2019-05-21T00:00:00|
NC|MSVB|38.229962|-120.614163|847.05|Sierra Vista|2019-05-30T00:00:00|
NC|N001|37.960411|-122.494141|2.0|Baypoint Dr., San Rafael, CA|2009-04-13T18:50:00|
NC|N002|38.18261|-122.140739|12.0|Lynbrook Dr, Fairfield, CA|2010-11-04T17:49:00|
NC|N003|38.108959|-122.553757|10.0|Summers Ave, Novato, CA|2010-11-17T18:29:00|
NC|N004|38.449051|-122.661362|102.0|Slate Dr, Santa Rosa, CA|2011-04-04T17:16:00|
NC|N005|38.534061|-122.788361|33.0|Pan Abode Ct, Santa Rosa, CA|2011-04-04T20:54:00|
NC|N006|38.406288|-122.709152|11.0|Courtyard Circle, Santa Rosa, CA|2011-04-07T19:41:00|
NC|N007|38.446449|-122.69519|64.0|Alderbrook Dr, Santa Rosa, CA|2011-04-07T22:15:00|
NC|N008|38.42844|-122.682053|166.0|Verdi Vista Dr, Santa Rosa, CA|2011-04-08T16:20:00|
NC|N009|38.351429|-122.631638|245.0|Pressley Rd, Santa Rosa, CA|2011-04-08T20:07:00|
NC|N010|38.45293|-122.7593|34.0|Burgundy Place, Santa Rosa, CA|2012-07-16T00:00:00|
NC|N011|38.303661|-122.680763|64.0|Old Redwood Hwy, Penngrove, CA|2012-07-16T00:00:00|
NC|N013|38.299309|-122.550179|411.0|Mesquite Ct, Sonoma, CA|2012-07-17T00:00:00|
NC|N014|38.247311|-122.609909|14.0|Marguerite Way, Petaluma, CA|2012-08-28T18:55:00|
NC|N015|38.447731|-122.720093|-11.0|Benton St, Santa Rosa, CA|2012-08-28T22:49:00|
NC|N016|38.298752|-122.284843|4.0|Main St, Napa, CA|2012-08-29T18:25:00|
NC|N017|38.05299|-122.658661|208.0|Lucas Valley Rd, Nicasio, CA|2013-02-14T00:00:00|
NC|N018|38.09692|-122.854378|14.0|Inverness Way, Inverness, CA|2013-05-02T00:00:00|
NC|N019B|38.300991|-122.401543|197.0|Lovall Valley Loop Rd, Sonoma, CA|2014-03-26T00:00:00|
NC|N020|38.296391|-122.2948|13.0|2nd St, Napa, CA|2014-08-27T00:00:00|
NC|N021|38.297359|-122.287453|5.0|2nd St, Napa, CA|2014-08-28T00:00:00|
NC|NBC|38.34385|-122.83392|174.0|Blucher Creek|2019-05-16T00:00:00|
NC|NFRB|38.522823|-123.162026|522.0|Fort Ross|2019-05-16T00:00:00|
NC|NLB|38.7427|-122.553063|371.0|Lake Bordeaux|2019-07-24T00:00:00|
NC|NLL|38.85146|-122.26834|716.0|Lloyd Lowery|2020-03-04T00:00:00|
NC|NMB|38.76294|-121.9295|67.6|Matchbook Winery|2019-04-15T00:00:00|
NC|NMK|38.2813|-122.08312|122.8|Mankas Corner|2019-04-15T00:00:00|
NC|NSC|38.57202|-122.252243|302.0|Smittle Creek|2019-05-22T00:00:00|
NC|NWL|38.657318|-121.714598|9.4|Woodland|2019-03-29T00:00:00|
NC|NWS|38.62996|-122.40126|320.0|Weeks Lake|2019-05-22T00:00:00|
NC|PBC|36.32026|-120.95414|706.0|Bitterwater Creek|2019-04-19T00:00:00|
NC|PBO|35.68674|-120.00061|237.0|Black Orchard|2019-05-06T00:00:00|
NC|PCE|36.01585|-120.29402|355.0|Cedar Canyon|2019-06-25T00:00:00|
NC|PCHD|35.888139|-120.430514|516.94|PCHD|2019-10-09T00:00:00|
NC|PD01|38.255131|-120.848907|184.0|Pardee Dam, Valley Springs, CA|2016-10-18T18:00:01|
NC|PWH|35.951577|-121.001374|846.27|Williams Hill|2019-07-11T00:00:00|
NC|RWSVT|37.94408|-122.263023|50.0|San Pablo Dam Toe 2, CA|2010-10-14T16:00:00|
